Temporada;Jornada;Fecha;Local;Visitante;GolesLocal;GolesVisitante
2008-09;18;10/01/2009;Deportivo de La Coruña;Sevilla;1;3
2008-09;18;10/01/2009;Valencia;Villarreal;3;3
2008-09;18;11/01/2009;Atlético de Madrid;Athletic Club;2;3
2008-09;18;11/01/2009;Betis;Málaga;1;2
2008-09;18;11/01/2009;Espanyol;Almería;2;2
2008-09;18;11/01/2009;Sporting de Gijón;Valladolid;2;1
2008-09;18;11/01/2009;Mallorca;Real Madrid;0;3
2008-09;18;11/01/2009;Numancia;Getafe;2;0
2008-09;18;11/01/2009;Osasuna;Barcelona;2;3
2008-09;18;11/01/2009;Racing de Santander;Recreativo de Huelva;1;1
2008-09;19;17/01/2009;Barcelona;Deportivo de La Coruña;5;0
2008-09;19;17/01/2009;Sevilla;Numancia;1;0
2008-09;19;18/01/2009;Athletic Club;Valencia;3;2
2008-09;19;18/01/2009;Getafe;Racing de Santander;0;1
2008-09;19;18/01/2009;Recreativo de Huelva;Sporting de Gijón;2;0
2008-09;19;18/01/2009;Málaga;Espanyol;4;0
2008-09;19;18/01/2009;Real Madrid;Osasuna;3;1
2008-09;19;18/01/2009;Almería;Atlético de Madrid;1;1
2008-09;19;18/01/2009;Valladolid;Betis;1;3
2008-09;19;18/01/2009;Villarreal;Mallorca;2;0
2008-09;20;24/01/2009;Barcelona;Numancia;4;1
2008-09;20;24/01/2009;Villarreal;Osasuna;1;1
2008-09;20;25/01/2009;Getafe;Sporting de Gijón;5;1
2008-09;20;25/01/2009;Recreativo de Huelva;Betis;1;0
2008-09;20;25/01/2009;Málaga;Atlético de Madrid;1;1
2008-09;20;25/01/2009;Mallorca;Valencia;3;1
2008-09;20;25/01/2009;Real Madrid;Deportivo de La Coruña;1;0
2008-09;20;25/01/2009;Sevilla;Racing de Santander;0;2
2008-09;20;25/01/2009;Almería;Athletic Club;2;1
2008-09;20;25/01/2009;Valladolid;Espanyol;1;1
